"Road","Home","Road_score","Home_score","Home_w","margin","Date"
"Army","Duke",72,94,1,-22,2018-11-11
"Goucher","VMI",34,98,1,-64,2018-11-11
"Goshen","Eastern Michigan",74,97,1,-23,2018-11-11
"Hofstra","Marshall",72,76,1,-4,2018-11-11
"Brown","NJIT",60,63,1,-3,2018-11-11
"UCSB","North Dakota State",63,82,1,-19,2018-11-11
"George Washington","Virginia",57,76,1,-19,2018-11-11
"Florida Atlantic","UCF",80,79,0,1,2018-11-11
"Green Bay","Iowa",82,93,1,-11,2018-11-11
"Drexel","Rutgers",66,95,1,-29,2018-11-11
"Southern Miss","SMU",74,64,0,10,2018-11-11
"Lamar","East Carolina",78,84,1,-6,2018-11-11
"Central Pennsylvania College","Howard",71,99,1,-28,2018-11-11
"Stetson","Missouri State",70,83,1,-13,2018-11-11
"Southeastern Louisiana","Nebraska",35,87,1,-52,2018-11-11
"Purdue-Fort Wayne","Ohio State",61,107,1,-46,2018-11-11
"Middle Georgia State","Savannah State",95,105,1,-10,2018-11-11
"Wesley","Towson",66,93,1,-27,2018-11-11
"Cal Poly","Arizona",61,82,1,-21,2018-11-11
"UMKC","UConn",66,94,1,-28,2018-11-11
"Sam Houston State","Louisiana Tech",69,76,1,-7,2018-11-11
"Dartmouth","Loyola (MD)",82,80,0,2,2018-11-11
"Hartford","Mississippi State",59,77,1,-18,2018-11-11
"Huntingdon","South Alabama",76,106,1,-30,2018-11-11
"Oral Roberts","TCU",62,79,1,-17,2018-11-11
"LaGrange","Alabama State",63,97,1,-34,2018-11-11
"Florida Gulf Coast","Michigan State",82,106,1,-24,2018-11-11
"Wabash","Northern Kentucky",59,99,1,-40,2018-11-11
"Appalachian State","Alabama",73,81,1,-8,2018-11-11
"Florida State","Tulane",80,69,0,11,2018-11-11
"Nicholls State","Washington State",72,89,1,-17,2018-11-11
"Utah Valley","Saint Mary's",63,92,1,-29,2018-11-11
"Presentation College","Montana State",68,83,1,-15,2018-11-11
"Vanderbilt","USC",82,78,0,4,2018-11-11
"Bryant","Seattle",59,82,1,-23,2018-11-11
"North Texas","Hawaii",68,51,0,17,2018-11-11
"Mount Saint Vincent","New Hampshire",61,100,1,-39,2018-11-12
"Detroit","Butler",63,84,1,-21,2018-11-12
"Misericordia","Binghamton",64,107,1,-43,2018-11-12
"Mid-Atlantic Christian","Citadel",75,148,1,-73,2018-11-12
"Bridgewater (VA)","James Madison",59,82,1,-23,2018-11-12
"North Carolina A&T","Maryland",59,82,1,-23,2018-11-12
"Manhattan","UMBC",52,75,1,-23,2018-11-12
"Midway","Miami (OH)",42,91,1,-49,2018-11-12
"St. Bonaventure","Niagara",72,80,1,-8,2018-11-12
"Stanford","UNC",72,90,1,-18,2018-11-12
"Campbell","Ohio",73,81,1,-8,2018-11-12
"Jacksonville State","Penn State",61,76,1,-15,2018-11-12
"Troy","Pitt",75,84,1,-9,2018-11-12
"Welch","Presbyterian",57,109,1,-52,2018-11-12
"Western New England","Sacred Heart",72,114,1,-42,2018-11-12
"Monmouth","St. Joseph's",63,78,1,-15,2018-11-12
"Kennesaw State","Samford",60,74,1,-14,2018-11-12
"Austin Peay","South Florida",70,74,1,-4,2018-11-12
"Quincy","Southeast Missouri State",66,102,1,-36,2018-11-12
"Bowling Green State","VCU",61,72,1,-11,2018-11-12
"Heidelberg","Youngstown State",83,106,1,-23,2018-11-12
"UC-Davis","Arkansas",58,81,1,-23,2018-11-12
"Missouri Baptist University","Arkansas State",54,89,1,-35,2018-11-12
"Prairie View","Baylor",80,91,1,-11,2018-11-12
"Middle Tennessee","Belmont",73,92,1,-19,2018-11-12
"University of the Ozarks","Central Arkansas",52,93,1,-41,2018-11-12
"Morgan State","DePaul",63,91,1,-28,2018-11-12
"UIC","Duquesne",88,89,1,-1,2018-11-12
"Texas Lutheran","Incarnate Word",59,70,1,-11,2018-11-12
"Texas Southern","Iowa State",73,85,1,-12,2018-11-12
"Pensacola Christian","New Orleans",59,87,1,-28,2018-11-12
"American","Northwestern",51,63,1,-12,2018-11-12
"Alabama A&M","Rice",59,73,1,-14,2018-11-12
"Northern Arizona","South Dakota",74,90,1,-16,2018-11-12
"Buffalo","Southern Illinois",62,53,0,9,2018-11-12
"Louisiana-Monroe","Texas",55,65,1,-10,2018-11-12
"Texas-Rio Grande Valley","Texas A&M-Corpus Christi",76,69,0,7,2018-11-12
"Oklahoma","UTSA",87,67,0,20,2018-11-12
"Long Beach State","Arizona State",58,90,1,-32,2018-11-12
"Jacksonville","Grand Canyon",59,76,1,-17,2018-11-12
"Vermont","Kansas",68,84,1,-16,2018-11-12
"Denver","Kansas State",56,64,1,-8,2018-11-12
"Utah","Minnesota",69,78,1,-9,2018-11-12
"Montana Tech","Montana",55,79,1,-24,2018-11-12
"Life Pacific","UC-Irvine",53,87,1,-34,2018-11-12
"Sonoma State","San Francisco",54,88,1,-34,2018-11-12
"San Diego","Washington",63,66,1,-3,2018-11-12
"Wisconsin","Xavier",77,68,0,9,2018-11-13
"Trinity Baptist","Bethune-Cookman",44,104,1,-60,2018-11-13
"Canisius","Bucknell",82,73,0,9,2018-11-13
"UMass-Lowell","Central Connecticut",74,86,1,-12,2018-11-13
"South Carolina State","Charleston Southern",72,89,1,-17,2018-11-13
"Cumberland","Chattanooga",61,92,1,-31,2018-11-13
"North Carolina Central","Cincinnati",51,73,1,-22,2018-11-13
"Urbana","Cleveland State",65,94,1,-29,2018-11-13
"Rhode Island","College of Charleston",55,66,1,-11,2018-11-13
"Elms","Dartmouth",54,100,1,-46,2018-11-13
"Chestnut Hill","Delaware",62,100,1,-38,2018-11-13
"Midway","Eastern Kentucky",52,107,1,-55,2018-11-13
"LIU-Brooklyn","Fairfield",89,87,0,2,2018-11-13
"Milwaukee","Florida International",83,86,1,-3,2018-11-13
"Gardner-Webb","Furman",86,88,1,-2,2018-11-13
"George Mason","Georgia Southern",89,98,1,-9,2018-11-13
"Mercer","Georgia State",60,62,1,-2,2018-11-13
"Regent","Howard",51,108,1,-57,2018-11-13
"Manchester","Purdue-Fort Wayne",65,111,1,-46,2018-11-13
"Shawnee State","Kent State",69,90,1,-21,2018-11-13
"Marist","Lehigh",72,78,1,-6,2018-11-13
"Memphis","LSU",76,85,1,-9,2018-11-13
"Harding","Louisiana Tech",58,89,1,-31,2018-11-13
"Southern","Louisville",54,104,1,-50,2018-11-13
"Delaware State","Loyola (MD)",62,91,1,-29,2018-11-13
"Longwood","Maryland-Eastern Shore",66,63,0,3,2018-11-13
"Harvard","UMass",74,71,0,3,2018-11-13
"Stephen F. Austin","Miami (FL)",58,96,1,-38,2018-11-13
"UNC Asheville","NC State",49,100,1,-51,2018-11-13
